"Ch1","Ch2","Ch3","Ch4","No"
0.364,0.24,0.126,0.27,68
0.108,0.304,0.318,0.27,69
0.124,0.206,0.342,0.328,70
0.164,0.416,0.112,0.308,71
0.088,0.3,0.354,0.258,72
0.118,0.21,0.274,0.398,73
0.18,0.32,0.128,0.372,74
0.108,0.16,0.432,0.3,75
0.17,0.116,0.294,0.42,76
0.108,0.12,0.28,0.492,77
0.114,0.126,0.444,0.316,78
0.138,0.108,0.338,0.416,79
0.34,0.214,0.124,0.322,80
0.128,0.442,0.11,0.32,81
0.096,0.378,0.274,0.252,82
0.152,0.128,0.572,0.148,83
0.146,0.55,0.122,0.182,84
0.196,0.194,0.358,0.252,85
0.186,0.194,0.17,0.45,86
0.242,0.112,0.494,0.152,87
0.224,0.112,0.416,0.248,88
0.318,0.13,0.1,0.452,89
0.18,0.224,0.324,0.272,90
0.262,0.286,0.102,0.35,91
0.118,0.276,0.132,0.474,92
0.112,0.258,0.424,0.206,93
0.372,0.23,0.104,0.294,94
0.268,0.19,0.138,0.404,95
0.28,0.226,0.204,0.29,96
0.35,0.132,0.154,0.364,97
0.092,0.114,0.472,0.322,98
0.124,0.576,0.112,0.188,99
0.08,0.256,0.508,0.156,100
0.126,0.24,0.272,0.362,101
0.104,0.162,0.376,0.358,102
0.318,0.212,0.228,0.242,103
0.194,0.434,0.264,0.108,104
0.288,0.112,0.316,0.284,105
0.142,0.688,0.07,0.1,106
0.162,0.192,0.198,0.448,107
0.076,0.588,0.156,0.18,108
0.288,0.26,0.166,0.286,109
0.168,0.094,0.488,0.25,110
0.206,0.186,0.134,0.474,111
0.282,0.146,0.428,0.144,112
0.398,0.124,0.19,0.288,113
0.158,0.684,0.056,0.102,114
0.068,0.204,0.434,0.294,115
0.36,0.268,0.07,0.302,116
0.222,0.092,0.36,0.326,117
0.096,0.498,0.294,0.112,118
0.724,0.092,0.078,0.106,119
0.078,0.304,0.532,0.086,120
0.254,0.33,0.108,0.308,121
0.254,0.344,0.17,0.232,122
0.17,0.474,0.102,0.254,123
0.092,0.152,0.66,0.096,124
0.096,0.416,0.092,0.396,125
0.158,0.338,0.164,0.34,126
0.678,0.076,0.116,0.13,127
0.18,0.51,0.076,0.234,128
0.154,0.552,0.114,0.18,129
0.334,0.268,0.072,0.326,130
0.31,0.18,0.19,0.32,131
0.076,0.454,0.082,0.388,132
0.046,0.084,0.79,0.08,133
0.54,0.108,0.094,0.258,134
0.43,0.08,0.228,0.262,135
0.168,0.1,0.09,0.642,136
0.096,0.118,0.546,0.24,137
0.52,0.09,0.096,0.294,138
0.244,0.076,0.49,0.19,139
0.094,0.17,0.3,0.436,140
0.072,0.07,0.436,0.422,141
0.068,0.058,0.452,0.422,142
0.312,0.094,0.352,0.242,143
0.164,0.204,0.32,0.312,144
0.128,0.478,0.088,0.306,145
0.08,0.126,0.252,0.542,146
0.134,0.286,0.312,0.268,147
0.184,0.108,0.142,0.566,148
0.198,0.124,0.516,0.162,149
0.074,0.108,0.554,0.264,150
0.086,0.236,0.08,0.598,151
0.08,0.21,0.396,0.314,152
0.108,0.266,0.114,0.512,153
0.186,0.202,0.356,0.256,154
0.072,0.306,0.424,0.198,155
0.046,0.678,0.118,0.158,156
0.374,0.112,0.314,0.2,157
0.13,0.19,0.37,0.31,158
0.382,0.132,0.136,0.35,159
0.344,0.166,0.092,0.398,160
0.124,0.694,0.028,0.154,161
0.07,0.436,0.074,0.42,162
0.376,0.102,0.142,0.38,163
0.222,0.298,0.106,0.374,164
0.074,0.468,0.302,0.156,165
0.098,0.156,0.268,0.478,166
0.076,0.584,0.194,0.146,167
0.112,0.338,0.138,0.412,168
0.544,0.112,0.16,0.184,169
0.278,0.106,0.128,0.488,170
0.354,0.166,0.084,0.396,171
0.18,0.262,0.194,0.364,172
0.16,0.478,0.148,0.214,173
0.112,0.238,0.488,0.162,174
0.394,0.252,0.126,0.228,175
0.17,0.336,0.148,0.346,176
0.206,0.212,0.194,0.388,177
0.25,0.242,0.202,0.306,178
0.178,0.192,0.216,0.414,179
0.234,0.186,0.162,0.418,180
0.11,0.158,0.624,0.108,181
0.116,0.174,0.568,0.142,182
0.196,0.53,0.156,0.118,183
0.096,0.37,0.29,0.244,184
0.152,0.206,0.274,0.368,185
0.308,0.486,0.11,0.096,186
0.54,0.18,0.142,0.138,187
0.176,0.26,0.152,0.412,188
0.262,0.146,0.184,0.408,189
0.15,0.306,0.176,0.368,190
0.5,0.124,0.166,0.21,191
0.096,0.326,0.344,0.234,192
0.084,0.3,0.462,0.154,193
0.042,0.722,0.112,0.124,194
0.42,0.3,0.03,0.25,195
0.058,0.664,0.106,0.172,196
0.532,0.332,0.042,0.094,197
0.054,0.84,0.036,0.07,198
0.254,0.056,0.544,0.146,199
0.078,0.098,0.146,0.678,200
0.058,0.48,0.14,0.322,201
0.086,0.036,0.766,0.112,202
0.73,0.038,0.022,0.21,203
0.086,0.08,0.542,0.292,204
0.58,0.05,0.29,0.08,205
0.302,0.058,0.166,0.474,206
0.1,0.574,0.064,0.262,207
0.09,0.66,0.118,0.132,208
0.492,0.082,0.36,0.066,209
0.128,0.21,0.184,0.478,210
0.132,0.342,0.226,0.3,211
0.146,0.092,0.532,0.23,212
0.062,0.228,0.31,0.4,213
0.1,0.368,0.11,0.422,214
0.35,0.138,0.116,0.396,215
0.11,0.074,0.296,0.52,216
0.074,0.122,0.368,0.436,217
0.22,0.152,0.098,0.53,218
0.12,0.262,0.116,0.502,219
0.34,0.13,0.126,0.404,220
0.17,0.07,0.456,0.304,221
0.098,0.126,0.244,0.532,222
0.238,0.104,0.232,0.426,223
0.12,0.204,0.124,0.552,224
0.254,0.148,0.14,0.458,225
0.086,0.18,0.21,0.524,226
0.126,0.308,0.128,0.438,227
0.326,0.106,0.078,0.49,228
0.066,0.37,0.226,0.338,229
0.38,0.374,0.06,0.186,230
0.438,0.104,0.09,0.368,231
0.23,0.328,0.19,0.252,232
0.222,0.064,0.5,0.214,233
0.412,0.078,0.336,0.174,234
0.566,0.112,0.068,0.254,235
0.578,0.094,0.074,0.254,236
0.334,0.284,0.078,0.304,237
0.07,0.102,0.668,0.16,238
0.174,0.056,0.598,0.172,239
0.174,0.486,0.066,0.274,240
0.208,0.074,0.618,0.1,241
0.108,0.08,0.538,0.274,242
0.166,0.626,0.064,0.144,243
0.082,0.074,0.738,0.106,244
0.146,0.618,0.098,0.138,245
0.668,0.072,0.074,0.186,246
0.094,0.724,0.074,0.108,247
0.24,0.088,0.48,0.192,248
0.094,0.232,0.124,0.55,249
0.08,0.188,0.588,0.144,250
0.394,0.296,0.096,0.214,251
0.086,0.244,0.148,0.522,252
0.248,0.22,0.144,0.388,253
0.26,0.342,0.1,0.298,254
0.062,0.226,0.142,0.57,255
0.538,0.162,0.102,0.198,256
0.136,0.192,0.37,0.302,257
0.212,0.19,0.194,0.404,258
0.328,0.398,0.096,0.178,259
0.088,0.114,0.158,0.64,260
0.346,0.204,0.112,0.338,261
0.112,0.198,0.434,0.256,262
0.124,0.47,0.188,0.218,263
0.134,0.12,0.19,0.556,264
0.114,0.116,0.126,0.644,265
0.08,0.176,0.488,0.256,266
0.062,0.146,0.532,0.26,267
0.126,0.656,0.122,0.096,268
0.102,0.702,0.122,0.074,269
0.08,0.176,0.104,0.64,270
0.134,0.66,0.098,0.108,271
0.208,0.128,0.158,0.506,272
0.122,0.14,0.3,0.438,273
0.066,0.268,0.086,0.58,274
0.07,0.262,0.106,0.562,275
0.078,0.78,0.062,0.08,276
0.126,0.286,0.112,0.476,277
0.088,0.686,0.092,0.134,278
0.084,0.696,0.084,0.136,279
0.176,0.186,0.106,0.532,280
0.318,0.146,0.08,0.456,281
0.082,0.14,0.346,0.432,282
0.244,0.144,0.098,0.514,283
0.106,0.086,0.532,0.276,284
0.214,0.11,0.11,0.566,285
0.12,0.494,0.07,0.316,286
0.152,0.126,0.35,0.372,287
0.222,0.192,0.298,0.288,288
0.478,0.09,0.062,0.37,289
0.088,0.48,0.128,0.304,290
0.094,0.07,0.578,0.258,291
0.212,0.316,0.114,0.358,292
0.306,0.164,0.238,0.292,293
0.272,0.28,0.128,0.32,294
0.29,0.24,0.142,0.328,295
0.156,0.292,0.256,0.296,296
0.388,0.094,0.142,0.376,297
0.406,0.174,0.068,0.352,298
0.19,0.394,0.202,0.214,299
0.094,0.46,0.148,0.298,300
0.258,0.154,0.42,0.168,301
0.112,0.31,0.122,0.456,302
0.162,0.446,0.108,0.284,303
0.288,0.068,0.264,0.38,304
0.176,0.328,0.084,0.412,305
0.046,0.636,0.15,0.168,306
0.168,0.468,0.214,0.15,307
0.5,0.206,0.058,0.236,308
0.104,0.218,0.436,0.242,309
0.226,0.162,0.36,0.252,310
0.446,0.162,0.074,0.318,311
0.302,0.136,0.384,0.178,312
0.526,0.116,0.13,0.228,313
0.636,0.138,0.052,0.174,314
0.082,0.242,0.08,0.596,315
0.096,0.558,0.056,0.29,316
0.38,0.186,0.092,0.342,317
0.09,0.632,0.122,0.156,318
0.094,0.382,0.06,0.464,319
0.09,0.58,0.158,0.172,320
0.204,0.104,0.19,0.502,321
0.612,0.186,0.054,0.148,322
0.272,0.166,0.34,0.222,323
0.126,0.382,0.156,0.336,324
0.136,0.16,0.442,0.262,325
0.144,0.248,0.34,0.268,326
0.286,0.22,0.168,0.326,327
0.256,0.212,0.166,0.366,328
0.168,0.164,0.206,0.462,329
0.158,0.238,0.29,0.314,330
0.088,0.24,0.098,0.574,331
0.268,0.12,0.132,0.48,332
0.204,0.286,0.106,0.404,333
0.134,0.138,0.12,0.608,334
0.092,0.132,0.358,0.418,335
0.088,0.174,0.238,0.5,336
0.08,0.096,0.36,0.464,337
0.098,0.096,0.262,0.544,338
0.18,0.242,0.162,0.416,339
0.092,0.236,0.11,0.562,340
0.106,0.11,0.146,0.638,341
0.08,0.146,0.362,0.412,342
0.234,0.378,0.088,0.3,343
0.196,0.056,0.352,0.396,344
0.104,0.098,0.35,0.448,345
0.262,0.086,0.212,0.44,346
0.054,0.348,0.132,0.466,347
0.23,0.2,0.398,0.172,348
0.112,0.28,0.122,0.486,349
0.068,0.072,0.488,0.372,350
0.182,0.354,0.11,0.354,351
0.376,0.406,0.048,0.17,352
0.118,0.17,0.328,0.384,353
0.11,0.57,0.206,0.114,354
0.29,0.27,0.092,0.348,355
0.2,0.322,0.068,0.41,356
0.058,0.388,0.138,0.416,357
0.088,0.302,0.082,0.528,358
0.112,0.154,0.128,0.606,359
0.112,0.526,0.09,0.272,360
0.296,0.228,0.186,0.29,361
0.244,0.258,0.17,0.328,362
0.146,0.142,0.104,0.608,363
0.218,0.142,0.554,0.086,364
0.148,0.206,0.092,0.554,365
0.158,0.21,0.532,0.1,366
0.088,0.144,0.146,0.622,367
0.144,0.668,0.11,0.078,368
0.14,0.14,0.478,0.242,369
0.266,0.146,0.092,0.496,370
0.164,0.318,0.128,0.39,371
0.638,0.072,0.09,0.2,372
0.088,0.15,0.118,0.644,373
0.448,0.164,0.15,0.238,374
0.178,0.128,0.148,0.546,375
0.178,0.146,0.484,0.192,376
0.12,0.394,0.148,0.338,377
0.682,0.084,0.122,0.112,378
0.11,0.078,0.134,0.678,379
0.17,0.626,0.144,0.06,380
0.196,0.312,0.162,0.33,381
0.136,0.18,0.18,0.504,382
0.23,0.15,0.152,0.468,383
0.118,0.112,0.648,0.122,384
0.302,0.312,0.128,0.258,385
0.162,0.468,0.11,0.26,386
0.54,0.096,0.08,0.284,387
0.27,0.31,0.09,0.33,388
0.36,0.172,0.126,0.342,389
0.104,0.45,0.206,0.24,390
0.164,0.11,0.114,0.612,391
0.212,0.122,0.478,0.188,392
0.162,0.472,0.128,0.238,393
0.284,0.118,0.136,0.462,394
0.268,0.356,0.13,0.246,395
0.16,0.32,0.122,0.398,396
0.166,0.526,0.118,0.19,397
0.086,0.194,0.562,0.158,398
0.188,0.48,0.104,0.228,399
0.084,0.358,0.126,0.432,400
0.336,0.22,0.256,0.188,401
0.208,0.086,0.414,0.292,402
0.088,0.432,0.078,0.402,403
0.17,0.106,0.378,0.346,404
0.088,0.312,0.114,0.486,405
0.05,0.16,0.6,0.19,406
0.274,0.334,0.1,0.292,407
0.088,0.194,0.546,0.172,408
0.166,0.444,0.058,0.332,409
0.112,0.18,0.138,0.57,410
0.08,0.322,0.16,0.438,411
0.082,0.42,0.05,0.448,412
0.188,0.08,0.128,0.604,413
0.178,0.448,0.054,0.32,414
0.432,0.166,0.096,0.306,415
0.18,0.088,0.122,0.61,416
0.086,0.21,0.424,0.28,417
0.056,0.294,0.116,0.534,418
0.538,0.1,0.112,0.25,419
0.412,0.132,0.134,0.322,420
0.146,0.138,0.106,0.61,421
0.136,0.19,0.248,0.426,422
0.342,0.1,0.272,0.286,423
0.598,0.078,0.122,0.202,424
0.082,0.206,0.132,0.58,425
0.138,0.33,0.138,0.394,426
0.18,0.626,0.144,0.05,427
0.068,0.096,0.42,0.416,428
0.514,0.058,0.08,0.348,429
0.06,0.076,0.396,0.468,430
0.088,0.626,0.072,0.214,431
0.182,0.056,0.12,0.642,432
0.088,0.778,0.052,0.082,433
0.736,0.072,0.08,0.112,434
0.14,0.072,0.15,0.638,435
0.624,0.258,0.054,0.064,436
0.188,0.348,0.078,0.386,437
0.34,0.18,0.124,0.356,438
0.208,0.1,0.228,0.464,439
0.266,0.122,0.166,0.446,440
0.18,0.49,0.182,0.148,441
0.148,0.408,0.08,0.364,442
0.17,0.278,0.12,0.432,443
0.088,0.12,0.21,0.582,444
0.214,0.124,0.258,0.404,445
0.094,0.142,0.192,0.572,446
0.1,0.128,0.206,0.566,447
0.076,0.066,0.674,0.184,448
0.134,0.058,0.626,0.182,449
0.202,0.206,0.074,0.518,450
0.078,0.672,0.082,0.168,451
0.218,0.268,0.098,0.416,452
0.082,0.086,0.162,0.67,453
0.124,0.132,0.234,0.51,454
0.458,0.144,0.168,0.23,455
0.328,0.094,0.078,0.5,456
0.374,0.12,0.132,0.374,457
0.09,0.318,0.13,0.462,458
0.456,0.12,0.102,0.322,459
0.104,0.064,0.666,0.166,460
0.202,0.312,0.122,0.364,461
0.082,0.262,0.564,0.092,462
0.124,0.33,0.146,0.4,463
0.172,0.154,0.276,0.398,464
0.204,0.154,0.222,0.42,465
0.11,0.312,0.11,0.468,466
0.088,0.35,0.1,0.462,467
0.324,0.086,0.204,0.386,468
0.09,0.586,0.13,0.194,469
0.138,0.126,0.194,0.542,470
0.068,0.59,0.242,0.1,471
0.174,0.654,0.066,0.106,472
0.628,0.128,0.104,0.14,473
0.158,0.124,0.22,0.498,474
0.148,0.142,0.578,0.132,475
0.162,0.526,0.07,0.242,476
0.114,0.288,0.316,0.282,477
0.338,0.314,0.102,0.246,478
0.202,0.468,0.118,0.212,479
0.206,0.304,0.23,0.26,480
0.096,0.122,0.51,0.272,481
0.112,0.196,0.402,0.29,482
0.068,0.55,0.228,0.154,483
0.182,0.362,0.158,0.298,484
0.288,0.422,0.082,0.208,485
0.16,0.562,0.118,0.16,486
0.182,0.424,0.124,0.27,487
0.278,0.45,0.082,0.19,488
0.2,0.118,0.412,0.27,489
0.084,0.14,0.502,0.274,490
0.124,0.196,0.534,0.146,491
0.394,0.216,0.226,0.164,492
0.194,0.156,0.48,0.17,493
0.434,0.108,0.134,0.324,494
0.214,0.34,0.302,0.144,495
0.2,0.232,0.422,0.146,496
0.25,0.216,0.446,0.088,497
0.508,0.238,0.152,0.102,498
0.174,0.258,0.24,0.328,499
0.252,0.362,0.168,0.218,500
0.244,0.112,0.358,0.286,501
0.314,0.134,0.178,0.374,502
0.428,0.218,0.132,0.222,503
0.12,0.35,0.152,0.378,504
0.306,0.174,0.29,0.23,505
0.43,0.128,0.35,0.092,506
0.276,0.176,0.376,0.172,507
0.5,0.196,0.136,0.168,508
0.122,0.224,0.544,0.11,509
0.122,0.462,0.162,0.254,510
0.446,0.166,0.136,0.252,511
0.17,0.314,0.422,0.094,512
0.144,0.34,0.244,0.272,513
0.11,0.524,0.13,0.236,514
0.234,0.146,0.34,0.28,515
0.148,0.252,0.208,0.392,516
0.138,0.44,0.112,0.31,517
0.366,0.25,0.128,0.256,518
0.11,0.406,0.252,0.232,519
0.124,0.15,0.496,0.23,520
0.096,0.648,0.124,0.132,521
0.112,0.14,0.318,0.43,522
0.34,0.218,0.312,0.13,523
0.358,0.344,0.064,0.234,524
0.124,0.392,0.182,0.302,525
0.12,0.126,0.556,0.198,526
0.136,0.41,0.19,0.264,527
0.168,0.15,0.202,0.48,528
0.12,0.112,0.544,0.224,529
0.188,0.23,0.162,0.42,530
0.124,0.374,0.126,0.376,531
0.194,0.332,0.158,0.316,532
0.162,0.276,0.384,0.178,533
0.174,0.388,0.178,0.26,534
0.192,0.328,0.34,0.14,535
0.162,0.27,0.252,0.316,536
0.152,0.272,0.402,0.174,537
0.162,0.31,0.21,0.318,538
0.186,0.354,0.202,0.258,539
0.158,0.284,0.286,0.272,540
0.376,0.256,0.158,0.21,541
0.144,0.204,0.454,0.198,542
0.138,0.374,0.196,0.292,543
0.352,0.38,0.144,0.124,544
0.286,0.336,0.232,0.146,545
0.226,0.21,0.348,0.216,546
0.266,0.198,0.268,0.268,547
0.142,0.288,0.458,0.112,548
0.126,0.294,0.366,0.214,549
0.18,0.26,0.228,0.332,550
0.136,0.562,0.128,0.174,551
0.266,0.276,0.316,0.142,552
0.292,0.274,0.324,0.11,553
0.228,0.226,0.364,0.182,554
0.21,0.144,0.486,0.16,555
0.118,0.442,0.286,0.154,556
0.092,0.302,0.474,0.132,557
0.332,0.308,0.312,0.048,558
0.088,0.288,0.374,0.25,559
0.278,0.352,0.22,0.15,560
0.092,0.294,0.332,0.282,561
0.288,0.27,0.262,0.18,562
0.27,0.202,0.256,0.272,563
0.082,0.284,0.44,0.194,564
0.29,0.244,0.274,0.192,565
0.322,0.252,0.296,0.13,566
0.278,0.166,0.28,0.276,567
0.316,0.378,0.09,0.216,568
0.308,0.394,0.106,0.192,569
0.28,0.132,0.25,0.338,570
0.48,0.19,0.166,0.164,571
0.134,0.244,0.268,0.354,572
0.05,0.2,0.69,0.06,573
0.25,0.478,0.068,0.204,574
0.276,0.098,0.37,0.256,575
0.154,0.076,0.352,0.418,576
0.602,0.082,0.124,0.192,577
0.58,0.246,0.042,0.132,578
0.108,0.356,0.068,0.468,579
0.5,0.238,0.118,0.144,580
0.08,0.632,0.08,0.208,581
0.132,0.654,0.062,0.152,582
0.14,0.326,0.122,0.412,583
0.148,0.04,0.71,0.102,584
0.084,0.08,0.326,0.51,585
0.24,0.166,0.088,0.506,586
0.652,0.066,0.09,0.192,587
0.106,0.104,0.106,0.684,588
0.264,0.136,0.058,0.542,589
0.148,0.502,0.208,0.142,590
0.486,0.238,0.148,0.128,591
0.244,0.454,0.08,0.222,592
0.286,0.508,0.102,0.104,593
0.206,0.54,0.13,0.124,594
0.174,0.578,0.12,0.128,595
0.14,0.198,0.31,0.352,596
0.17,0.626,0.106,0.098,597
0.15,0.18,0.484,0.186,598
0.184,0.31,0.154,0.352,599
0.138,0.62,0.128,0.114,600
0.356,0.152,0.188,0.304,601
0.584,0.156,0.166,0.094,602
0.146,0.636,0.102,0.116,603
0.106,0.162,0.412,0.32,604
0.128,0.134,0.444,0.294,605
0.182,0.2,0.512,0.106,606
0.122,0.32,0.214,0.344,607
0.198,0.412,0.126,0.264,608
0.288,0.204,0.076,0.432,609
0.174,0.114,0.224,0.488,610
0.06,0.186,0.436,0.318,611
0.104,0.538,0.082,0.276,612
0.426,0.248,0.114,0.212,613
0.076,0.24,0.57,0.114,614
0.06,0.186,0.094,0.66,615
0.534,0.084,0.304,0.078,616
0.072,0.148,0.328,0.452,617
0.466,0.086,0.348,0.1,618
0.11,0.142,0.374,0.374,619
0.07,0.346,0.242,0.342,620
0.144,0.572,0.092,0.192,621
0.056,0.674,0.076,0.194,622
0.19,0.128,0.096,0.586,623
0.13,0.068,0.274,0.528,624
0.244,0.566,0.136,0.054,625
0.076,0.076,0.322,0.526,626
0.392,0.08,0.434,0.094,627
0.334,0.208,0.156,0.302,628
0.366,0.466,0.08,0.088,629
0.53,0.182,0.22,0.068,630
0.236,0.544,0.138,0.082,631
0.074,0.184,0.286,0.456,632
0.16,0.256,0.198,0.386,633
0.2,0.586,0.122,0.092,634
0.252,0.24,0.172,0.336,635
0.666,0.162,0.066,0.106,636
0.11,0.212,0.238,0.44,637
0.122,0.336,0.19,0.352,638
0.278,0.45,0.19,0.082,639
0.18,0.598,0.118,0.104,640
0.15,0.404,0.254,0.192,641
0.124,0.364,0.142,0.37,642
0.156,0.36,0.174,0.31,643
0.146,0.324,0.176,0.354,644
0.1,0.25,0.154,0.496,645
0.232,0.136,0.174,0.458,646
0.212,0.398,0.33,0.06,647
0.244,0.496,0.082,0.178,648
0.086,0.088,0.592,0.234,649
0.2,0.566,0.064,0.17,650
0.33,0.248,0.33,0.092,651
0.13,0.244,0.384,0.242,652
0.088,0.51,0.284,0.118,653
0.27,0.156,0.346,0.228,654
0.408,0.22,0.258,0.114,655
0.51,0.098,0.202,0.19,656
0.138,0.336,0.178,0.348,657
0.322,0.076,0.512,0.09,658
0.064,0.252,0.61,0.074,659
0.57,0.2,0.136,0.094,660
0.224,0.1,0.164,0.512,661
0.22,0.462,0.078,0.24,662
0.666,0.166,0.076,0.092,663
0.448,0.096,0.328,0.128,664
0.178,0.164,0.192,0.466,665
0.43,0.278,0.166,0.126,666
0.128,0.078,0.504,0.29,667
0.086,0.5,0.094,0.32,668
0.088,0.406,0.284,0.222,669
0.064,0.184,0.652,0.1,670
0.322,0.262,0.206,0.21,671
0.104,0.224,0.356,0.316,672
0.216,0.254,0.182,0.348,673
0.238,0.122,0.428,0.212,674
0.196,0.52,0.08,0.204,675
0.438,0.344,0.05,0.168,676
0.256,0.33,0.288,0.126,677
0.372,0.07,0.268,0.29,678
0.298,0.468,0.078,0.156,679
0.366,0.22,0.08,0.334,680
0.066,0.162,0.606,0.166,681
0.434,0.054,0.226,0.286,682
0.188,0.624,0.066,0.122,683
0.438,0.148,0.068,0.346,684
0.424,0.214,0.17,0.192,685
0.152,0.468,0.146,0.234,686
0.274,0.248,0.276,0.202,687
0.232,0.182,0.242,0.344,688
0.26,0.336,0.198,0.206,689
0.164,0.37,0.17,0.296,690
0.254,0.228,0.402,0.116,691
0.206,0.454,0.174,0.166,692
0.318,0.204,0.286,0.192,693
0.28,0.42,0.146,0.154,694
0.29,0.198,0.212,0.3,695
0.24,0.27,0.198,0.292,696
0.186,0.488,0.176,0.15,697
0.214,0.288,0.152,0.346,698
0.324,0.266,0.244,0.166,699
0.254,0.174,0.376,0.196,700
0.18,0.504,0.142,0.174,701
0.232,0.2,0.38,0.188,702
0.19,0.242,0.298,0.27,703
0.29,0.28,0.274,0.156,704
0.324,0.27,0.12,0.286,705
0.182,0.39,0.11,0.318,706
0.244,0.176,0.256,0.324,707
0.154,0.358,0.334,0.154,708
0.186,0.188,0.294,0.332,709
0.194,0.442,0.15,0.214,710
0.408,0.338,0.122,0.132,711
0.348,0.328,0.11,0.214,712
0.2,0.228,0.154,0.418,713
0.16,0.366,0.148,0.326,714
0.108,0.22,0.47,0.202,715
0.114,0.252,0.324,0.31,716
0.068,0.216,0.278,0.438,717
0.102,0.156,0.422,0.32,718
0.426,0.262,0.098,0.214,719
0.274,0.19,0.186,0.35,720
0.452,0.176,0.19,0.182,721
0.104,0.266,0.308,0.322,722
0.146,0.302,0.08,0.472,723
0.11,0.614,0.088,0.188,724
0.196,0.228,0.176,0.4,725
0.506,0.08,0.29,0.124,726
0.672,0.082,0.078,0.168,727
0.17,0.262,0.12,0.448,728
0.134,0.622,0.06,0.184,729
0.088,0.076,0.354,0.482,730
0.55,0.096,0.188,0.166,731
0.078,0.148,0.696,0.078,732
0.1,0.114,0.212,0.574,733
0.14,0.378,0.112,0.37,734
0.278,0.062,0.168,0.492,735
0.108,0.122,0.118,0.652,736
0.068,0.078,0.364,0.49,737
0.254,0.142,0.1,0.504,738
0.062,0.636,0.066,0.236,739
0.122,0.166,0.08,0.632,740
0.584,0.074,0.234,0.108,741
0.068,0.03,0.416,0.486,742
0.428,0.066,0.168,0.338,743
0.084,0.394,0.074,0.448,744
0.056,0.07,0.748,0.126,745
0.136,0.096,0.102,0.666,746
0.092,0.15,0.124,0.634,747
0.482,0.104,0.062,0.352,748
0.774,0.086,0.052,0.088,749
0.08,0.082,0.72,0.118,750
0.17,0.146,0.124,0.56,751
0.096,0.32,0.1,0.484,752
0.074,0.21,0.104,0.612,753
0.176,0.086,0.064,0.674,754
0.314,0.118,0.082,0.486,755
0.094,0.07,0.24,0.596,756
0.26,0.084,0.134,0.522,757
0.078,0.138,0.138,0.646,758
0.694,0.05,0.114,0.142,759
0.074,0.07,0.22,0.636,760
0.088,0.52,0.108,0.284,761
0.114,0.46,0.048,0.378,762
0.372,0.152,0.086,0.39,763
0.176,0.306,0.22,0.298,764
0.226,0.312,0.074,0.388,765
0.698,0.066,0.082,0.154,766
0.064,0.476,0.244,0.216,767
0.076,0.346,0.078,0.5,768
0.226,0.092,0.248,0.434,769
0.132,0.142,0.13,0.596,770
0.102,0.084,0.222,0.592,771
0.26,0.128,0.084,0.528,772
0.378,0.08,0.086,0.456,773
0.126,0.096,0.634,0.144,774
0.086,0.098,0.334,0.482,775
