"No","Ch1","Ch2","Ch3","Ch4"
21649,0.58,0.152,0.17,0.098
21650,0.084,0.318,0.358,0.24
21651,0.42,0.1,0.196,0.284
21652,0.118,0.102,0.192,0.588
21653,0.594,0.13,0.13,0.146
21654,0.702,0.086,0.108,0.104
21655,0.338,0.096,0.492,0.074
21656,0.458,0.118,0.162,0.262
21657,0.544,0.166,0.132,0.158
21658,0.466,0.158,0.154,0.222
21659,0.568,0.076,0.172,0.184
21660,0.1,0.086,0.23,0.584
21661,0.292,0.198,0.148,0.362
21662,0.082,0.59,0.058,0.27
21663,0.086,0.168,0.65,0.096
21664,0.078,0.34,0.24,0.342
21665,0.286,0.312,0.182,0.22
21666,0.148,0.386,0.09,0.376
21667,0.088,0.31,0.29,0.312
21668,0.226,0.322,0.118,0.334
21669,0.118,0.336,0.12,0.426
21670,0.096,0.546,0.06,0.298
21671,0.056,0.404,0.484,0.056
21672,0.07,0.19,0.382,0.358
21673,0.228,0.372,0.06,0.34
21674,0.41,0.126,0.142,0.322
21675,0.356,0.152,0.084,0.408
21676,0.098,0.586,0.136,0.18
21677,0.716,0.046,0.136,0.102
21678,0.156,0.282,0.474,0.088
21679,0.114,0.506,0.056,0.324
21680,0.372,0.102,0.392,0.134
21681,0.39,0.112,0.118,0.38
21682,0.264,0.328,0.128,0.28
21683,0.394,0.084,0.2,0.322
21684,0.354,0.128,0.148,0.37
21685,0.092,0.318,0.102,0.488
21686,0.118,0.38,0.316,0.186
21687,0.272,0.096,0.364,0.268
21688,0.348,0.128,0.142,0.382
21689,0.292,0.488,0.064,0.156
21690,0.456,0.324,0.12,0.1
21691,0.232,0.488,0.096,0.184
21692,0.08,0.39,0.392,0.138
21693,0.124,0.57,0.074,0.232
21694,0.108,0.384,0.12,0.388
21695,0.274,0.272,0.34,0.114
21696,0.432,0.302,0.084,0.182
21697,0.346,0.322,0.184,0.148
21698,0.192,0.06,0.626,0.122
21699,0.372,0.43,0.066,0.132
21700,0.428,0.14,0.096,0.336
21701,0.594,0.084,0.08,0.242
21702,0.16,0.232,0.108,0.5
21703,0.144,0.204,0.076,0.576
21704,0.148,0.28,0.402,0.17
21705,0.11,0.09,0.588,0.212
21706,0.108,0.404,0.106,0.382
21707,0.098,0.486,0.256,0.16
21708,0.056,0.524,0.186,0.234
21709,0.218,0.172,0.072,0.538
21710,0.282,0.1,0.086,0.532
21711,0.062,0.472,0.284,0.182
21712,0.09,0.264,0.092,0.554
21713,0.542,0.114,0.174,0.17
21714,0.09,0.504,0.08,0.326
21715,0.398,0.076,0.218,0.308
21716,0.088,0.158,0.27,0.484
21717,0.176,0.084,0.404,0.336
21718,0.206,0.476,0.082,0.236
21719,0.194,0.13,0.192,0.484
21720,0.414,0.184,0.106,0.296
21721,0.092,0.17,0.524,0.214
21722,0.466,0.16,0.162,0.212
21723,0.136,0.212,0.132,0.52
21724,0.412,0.154,0.226,0.208
21725,0.092,0.252,0.228,0.428
21726,0.078,0.318,0.338,0.266
21727,0.252,0.086,0.512,0.15
21728,0.116,0.122,0.374,0.388
21729,0.224,0.284,0.09,0.402
21730,0.34,0.11,0.172,0.378
21731,0.242,0.22,0.336,0.202
21732,0.326,0.188,0.094,0.392
21733,0.48,0.31,0.096,0.114
21734,0.11,0.454,0.314,0.122
21735,0.238,0.268,0.11,0.384
21736,0.618,0.176,0.068,0.138
21737,0.274,0.228,0.374,0.124
21738,0.308,0.272,0.296,0.124
21739,0.218,0.412,0.26,0.11
21740,0.088,0.44,0.344,0.128
21741,0.11,0.308,0.272,0.31
21742,0.174,0.388,0.29,0.148
21743,0.48,0.172,0.104,0.244
21744,0.312,0.294,0.286,0.108
21745,0.23,0.152,0.35,0.268
21746,0.268,0.342,0.13,0.26
21747,0.308,0.46,0.108,0.124
21748,0.26,0.384,0.198,0.158
21749,0.112,0.27,0.332,0.286
21750,0.136,0.154,0.5,0.21
21751,0.308,0.106,0.346,0.24
21752,0.404,0.142,0.172,0.282
21753,0.274,0.19,0.232,0.304
21754,0.154,0.38,0.158,0.308
21755,0.134,0.212,0.324,0.33
21756,0.118,0.478,0.154,0.25
21757,0.164,0.496,0.052,0.288
21758,0.166,0.392,0.116,0.326
21759,0.32,0.322,0.166,0.192
21760,0.218,0.054,0.336,0.392
21761,0.054,0.118,0.558,0.27
21762,0.05,0.804,0.054,0.092
21763,0.566,0.084,0.056,0.294
21764,0.334,0.052,0.496,0.118
21765,0.42,0.102,0.182,0.296
21766,0.086,0.502,0.072,0.34
21767,0.062,0.182,0.456,0.3
21768,0.08,0.606,0.224,0.09
21769,0.144,0.28,0.088,0.488
21770,0.11,0.382,0.338,0.17
21771,0.058,0.166,0.456,0.32
21772,0.106,0.422,0.192,0.28
21773,0.366,0.368,0.156,0.11
21774,0.068,0.236,0.4,0.296
21775,0.276,0.284,0.154,0.286
21776,0.406,0.25,0.132,0.212
21777,0.076,0.088,0.502,0.334
21778,0.294,0.126,0.132,0.448
21779,0.448,0.126,0.104,0.322
21780,0.15,0.12,0.462,0.268
21781,0.112,0.1,0.572,0.216
21782,0.482,0.12,0.286,0.112
21783,0.292,0.146,0.114,0.448
21784,0.67,0.148,0.072,0.11
21785,0.098,0.59,0.226,0.086
21786,0.162,0.114,0.204,0.52
21787,0.12,0.636,0.08,0.164
21788,0.454,0.166,0.1,0.28
21789,0.104,0.206,0.182,0.508
21790,0.596,0.102,0.09,0.212
21791,0.282,0.162,0.122,0.434
21792,0.086,0.222,0.438,0.254
21793,0.166,0.176,0.514,0.144
21794,0.062,0.38,0.284,0.274
21795,0.314,0.06,0.442,0.184
21796,0.224,0.274,0.314,0.188
21797,0.398,0.362,0.098,0.142
21798,0.568,0.068,0.174,0.19
21799,0.144,0.11,0.158,0.588
21800,0.082,0.102,0.334,0.482
21801,0.122,0.242,0.254,0.382
21802,0.062,0.164,0.504,0.27
21803,0.092,0.098,0.432,0.378
21804,0.308,0.444,0.112,0.136
21805,0.446,0.112,0.128,0.314
21806,0.096,0.448,0.144,0.312
21807,0.11,0.38,0.156,0.354
21808,0.244,0.126,0.154,0.476
21809,0.598,0.092,0.102,0.208
21810,0.696,0.046,0.138,0.12
21811,0.236,0.506,0.184,0.074
21812,0.12,0.1,0.46,0.32
21813,0.212,0.468,0.13,0.19
21814,0.162,0.396,0.328,0.114
21815,0.35,0.096,0.368,0.186
21816,0.274,0.332,0.238,0.156
21817,0.264,0.132,0.472,0.132
21818,0.152,0.166,0.33,0.352
21819,0.27,0.188,0.16,0.382
21820,0.62,0.102,0.148,0.13
21821,0.136,0.154,0.486,0.224
21822,0.26,0.482,0.132,0.126
21823,0.126,0.358,0.372,0.144
21824,0.13,0.436,0.334,0.1
21825,0.114,0.416,0.168,0.302
21826,0.128,0.558,0.26,0.054
21827,0.084,0.132,0.674,0.11
21828,0.182,0.47,0.122,0.226
21829,0.17,0.286,0.438,0.106
21830,0.242,0.214,0.34,0.204
21831,0.224,0.3,0.118,0.358
21832,0.144,0.452,0.118,0.286
21833,0.476,0.11,0.262,0.152
21834,0.542,0.116,0.192,0.15
21835,0.14,0.396,0.162,0.302
21836,0.086,0.14,0.47,0.304
21837,0.166,0.126,0.322,0.386
21838,0.154,0.246,0.42,0.18
21839,0.098,0.4,0.17,0.332
21840,0.364,0.26,0.194,0.182
21841,0.376,0.176,0.232,0.216
21842,0.082,0.27,0.47,0.178
21843,0.318,0.12,0.216,0.346
21844,0.076,0.398,0.29,0.236
21845,0.262,0.148,0.208,0.382
21846,0.112,0.494,0.172,0.222
21847,0.53,0.128,0.172,0.17
21848,0.228,0.15,0.142,0.48
21849,0.346,0.448,0.066,0.14
21850,0.394,0.25,0.138,0.218
21851,0.174,0.636,0.076,0.114
21852,0.442,0.216,0.088,0.254
21853,0.078,0.212,0.318,0.392
21854,0.41,0.148,0.17,0.272
21855,0.106,0.254,0.156,0.484
21856,0.464,0.182,0.25,0.104
21857,0.08,0.288,0.146,0.486
21858,0.53,0.156,0.068,0.246
21859,0.528,0.082,0.094,0.296
21860,0.55,0.13,0.098,0.222
21861,0.07,0.222,0.578,0.13
21862,0.056,0.594,0.19,0.16
21863,0.082,0.444,0.174,0.3
21864,0.194,0.534,0.086,0.186
21865,0.14,0.208,0.484,0.168
21866,0.216,0.122,0.468,0.194
21867,0.088,0.088,0.216,0.608
21868,0.094,0.096,0.292,0.518
21869,0.192,0.112,0.16,0.536
21870,0.14,0.098,0.268,0.494
21871,0.63,0.094,0.084,0.192
21872,0.064,0.512,0.18,0.244
21873,0.334,0.396,0.2,0.07
21874,0.086,0.648,0.096,0.17
21875,0.324,0.248,0.076,0.352
21876,0.64,0.108,0.09,0.162
21877,0.084,0.348,0.104,0.464
21878,0.322,0.524,0.07,0.084
21879,0.156,0.184,0.084,0.576
21880,0.562,0.118,0.154,0.166
21881,0.068,0.212,0.144,0.576
21882,0.16,0.112,0.132,0.596
21883,0.076,0.248,0.15,0.526
21884,0.156,0.428,0.07,0.346
21885,0.088,0.374,0.098,0.44
21886,0.162,0.162,0.116,0.56
21887,0.148,0.064,0.414,0.374
21888,0.068,0.228,0.462,0.242
21889,0.266,0.246,0.2,0.288
21890,0.296,0.132,0.182,0.39
21891,0.42,0.124,0.282,0.174
21892,0.102,0.39,0.126,0.382
21893,0.136,0.398,0.1,0.366
21894,0.14,0.094,0.264,0.502
21895,0.098,0.132,0.652,0.118
21896,0.412,0.16,0.25,0.178
21897,0.186,0.482,0.198,0.134
21898,0.132,0.32,0.286,0.262
21899,0.182,0.144,0.546,0.128
21900,0.156,0.14,0.204,0.5
21901,0.164,0.514,0.116,0.206
21902,0.106,0.194,0.54,0.16
21903,0.106,0.144,0.558,0.192
21904,0.208,0.13,0.288,0.374
21905,0.124,0.322,0.238,0.316
21906,0.094,0.284,0.146,0.476
21907,0.134,0.292,0.178,0.396
21908,0.336,0.312,0.11,0.242
21909,0.234,0.18,0.31,0.276
21910,0.326,0.238,0.216,0.22
21911,0.298,0.398,0.176,0.128
21912,0.17,0.538,0.08,0.212
21913,0.184,0.298,0.196,0.322
21914,0.148,0.114,0.28,0.458
21915,0.27,0.204,0.26,0.266
21916,0.146,0.18,0.264,0.41
21917,0.168,0.214,0.184,0.434
21918,0.08,0.226,0.548,0.146
21919,0.206,0.092,0.588,0.114
21920,0.202,0.288,0.13,0.38
21921,0.126,0.642,0.086,0.146
21922,0.288,0.386,0.114,0.212
21923,0.152,0.202,0.22,0.426
21924,0.164,0.182,0.294,0.36
21925,0.392,0.288,0.2,0.12
21926,0.282,0.206,0.136,0.376
21927,0.08,0.128,0.38,0.412
21928,0.092,0.426,0.09,0.392
21929,0.11,0.104,0.138,0.648
21930,0.066,0.236,0.172,0.526
21931,0.124,0.214,0.138,0.524
21932,0.106,0.102,0.338,0.454
21933,0.092,0.384,0.086,0.438
21934,0.094,0.308,0.112,0.486
21935,0.138,0.154,0.118,0.59
21936,0.19,0.2,0.1,0.51
21937,0.09,0.126,0.386,0.398
21938,0.098,0.302,0.14,0.46
21939,0.094,0.254,0.15,0.502
21940,0.426,0.172,0.094,0.308
21941,0.11,0.086,0.246,0.558
21942,0.102,0.616,0.092,0.19
21943,0.116,0.274,0.126,0.484
21944,0.074,0.488,0.222,0.216
21945,0.114,0.298,0.114,0.474
21946,0.342,0.208,0.182,0.268
21947,0.488,0.242,0.114,0.156
21948,0.114,0.538,0.17,0.178
21949,0.256,0.258,0.136,0.35
21950,0.116,0.43,0.12,0.334
21951,0.12,0.27,0.286,0.324
21952,0.324,0.112,0.174,0.39
21953,0.366,0.228,0.11,0.296
21954,0.2,0.128,0.164,0.508
21955,0.352,0.152,0.148,0.348
21956,0.146,0.202,0.172,0.48
21957,0.3,0.098,0.308,0.294
21958,0.052,0.656,0.146,0.146
21959,0.128,0.186,0.142,0.544
21960,0.13,0.446,0.11,0.314
21961,0.24,0.13,0.368,0.262
21962,0.534,0.138,0.186,0.142
21963,0.1,0.596,0.194,0.11
21964,0.112,0.102,0.672,0.114
21965,0.08,0.126,0.296,0.498
21966,0.112,0.104,0.254,0.53
21967,0.424,0.074,0.276,0.226
21968,0.226,0.422,0.052,0.3
21969,0.104,0.182,0.13,0.584
21970,0.274,0.18,0.076,0.47
21971,0.098,0.302,0.52,0.08
21972,0.224,0.138,0.104,0.534
21973,0.44,0.132,0.072,0.356
21974,0.562,0.15,0.108,0.18
21975,0.104,0.124,0.248,0.524
21976,0.37,0.202,0.342,0.086
21977,0.094,0.22,0.194,0.492
21978,0.28,0.066,0.176,0.478
21979,0.186,0.194,0.062,0.558
21980,0.066,0.494,0.128,0.312
21981,0.092,0.328,0.142,0.438
21982,0.124,0.162,0.14,0.574
21983,0.116,0.066,0.25,0.568
21984,0.204,0.154,0.164,0.478
21985,0.074,0.67,0.04,0.216
21986,0.088,0.142,0.686,0.084
21987,0.064,0.296,0.204,0.436
21988,0.208,0.254,0.16,0.378
21989,0.12,0.328,0.104,0.448
21990,0.076,0.31,0.206,0.408
21991,0.248,0.24,0.122,0.39
21992,0.104,0.26,0.136,0.5
21993,0.062,0.478,0.054,0.406
21994,0.04,0.34,0.532,0.088
21995,0.056,0.158,0.312,0.474
21996,0.234,0.346,0.068,0.352
21997,0.346,0.138,0.14,0.376
21998,0.256,0.116,0.086,0.542
21999,0.096,0.672,0.126,0.106
22000,0.72,0.03,0.142,0.108
22001,0.152,0.444,0.314,0.09
22002,0.1,0.474,0.054,0.372
22003,0.076,0.256,0.484,0.184
22004,0.402,0.362,0.062,0.174
22005,0.392,0.072,0.208,0.328
22006,0.09,0.39,0.168,0.352
22007,0.19,0.468,0.094,0.248
22008,0.094,0.274,0.402,0.23
22009,0.224,0.168,0.342,0.266
22010,0.126,0.478,0.162,0.234
22011,0.086,0.336,0.278,0.3
22012,0.206,0.34,0.176,0.278
22013,0.222,0.262,0.3,0.216
22014,0.17,0.1,0.622,0.108
22015,0.102,0.114,0.498,0.286
22016,0.106,0.306,0.278,0.31
22017,0.076,0.53,0.274,0.12
22018,0.404,0.156,0.194,0.246
22019,0.348,0.116,0.296,0.24
22020,0.114,0.142,0.472,0.272
22021,0.214,0.166,0.282,0.338
22022,0.322,0.268,0.146,0.264
22023,0.21,0.186,0.274,0.33
22024,0.222,0.13,0.186,0.462
22025,0.282,0.164,0.158,0.396
22026,0.564,0.086,0.16,0.19
22027,0.336,0.122,0.172,0.37
22028,0.372,0.18,0.15,0.298
22029,0.15,0.2,0.19,0.46
22030,0.288,0.212,0.356,0.144
22031,0.18,0.19,0.14,0.49
22032,0.176,0.272,0.162,0.39
22033,0.276,0.112,0.46,0.152
22034,0.564,0.152,0.104,0.18
22035,0.374,0.156,0.122,0.348
22036,0.43,0.176,0.18,0.214
22037,0.164,0.264,0.106,0.466
22038,0.154,0.288,0.132,0.426
22039,0.384,0.18,0.218,0.218
22040,0.164,0.446,0.178,0.212
22041,0.358,0.068,0.454,0.12
22042,0.236,0.11,0.48,0.174
22043,0.184,0.508,0.184,0.124
22044,0.294,0.13,0.3,0.276
22045,0.108,0.482,0.252,0.158
22046,0.308,0.13,0.31,0.252
22047,0.128,0.248,0.4,0.224
22048,0.074,0.684,0.148,0.094
22049,0.096,0.502,0.186,0.216
22050,0.092,0.424,0.236,0.248
22051,0.324,0.236,0.374,0.066
22052,0.318,0.35,0.162,0.17
22053,0.068,0.648,0.196,0.088
22054,0.068,0.202,0.642,0.088
22055,0.096,0.46,0.366,0.078
22056,0.122,0.466,0.326,0.086
22057,0.288,0.068,0.464,0.18
22058,0.15,0.562,0.206,0.082
22059,0.442,0.388,0.056,0.114
22060,0.212,0.126,0.108,0.554
22061,0.076,0.126,0.54,0.258
22062,0.058,0.152,0.614,0.176
22063,0.048,0.69,0.13,0.132
22064,0.564,0.112,0.156,0.168
22065,0.094,0.134,0.386,0.386
22066,0.462,0.084,0.104,0.35
22067,0.38,0.138,0.106,0.376
22068,0.078,0.758,0.03,0.134
22069,0.07,0.47,0.074,0.386
22070,0.234,0.096,0.05,0.62
22071,0.206,0.154,0.094,0.546
22072,0.052,0.622,0.202,0.124
22073,0.086,0.096,0.332,0.486
22074,0.092,0.742,0.1,0.066
22075,0.082,0.208,0.25,0.46
22076,0.73,0.062,0.07,0.138
22077,0.152,0.096,0.06,0.692
22078,0.2,0.148,0.064,0.588
22079,0.386,0.102,0.102,0.41
22080,0.096,0.128,0.486,0.29
22081,0.11,0.552,0.098,0.24
22082,0.504,0.156,0.108,0.232
22083,0.102,0.492,0.116,0.29
22084,0.138,0.18,0.094,0.588
22085,0.234,0.096,0.222,0.448
22086,0.112,0.36,0.1,0.428
22087,0.076,0.088,0.358,0.478
22088,0.104,0.224,0.128,0.544
22089,0.092,0.47,0.18,0.258
22090,0.112,0.138,0.244,0.506
22091,0.086,0.092,0.618,0.204
22092,0.534,0.198,0.092,0.176
22093,0.104,0.126,0.418,0.352
22094,0.11,0.102,0.314,0.474
22095,0.096,0.146,0.154,0.604
22096,0.12,0.052,0.614,0.214
22097,0.434,0.102,0.096,0.368
22098,0.246,0.104,0.52,0.13
22099,0.14,0.368,0.12,0.372
22100,0.1,0.156,0.6,0.144
22101,0.48,0.184,0.106,0.23
22102,0.112,0.392,0.116,0.38
22103,0.244,0.19,0.13,0.436
22104,0.242,0.228,0.094,0.436
22105,0.078,0.354,0.112,0.456
22106,0.53,0.146,0.124,0.2
22107,0.096,0.108,0.548,0.248
22108,0.334,0.176,0.164,0.326
22109,0.358,0.364,0.11,0.168
22110,0.114,0.112,0.162,0.612
22111,0.31,0.148,0.136,0.406
22112,0.104,0.198,0.502,0.196
22113,0.13,0.518,0.13,0.222
22114,0.164,0.1,0.204,0.532
22115,0.206,0.118,0.178,0.498
22116,0.074,0.204,0.532,0.19
22117,0.198,0.12,0.52,0.162
22118,0.572,0.126,0.112,0.19
22119,0.154,0.516,0.082,0.248
22120,0.12,0.096,0.504,0.28
22121,0.108,0.252,0.16,0.48
22122,0.102,0.198,0.58,0.12
22123,0.056,0.502,0.144,0.298
22124,0.1,0.338,0.22,0.342
22125,0.264,0.134,0.15,0.452
22126,0.22,0.108,0.23,0.442
22127,0.58,0.134,0.14,0.146
22128,0.458,0.218,0.182,0.142
22129,0.124,0.116,0.204,0.556
22130,0.118,0.276,0.49,0.116
22131,0.562,0.128,0.16,0.15
22132,0.158,0.242,0.372,0.228
22133,0.098,0.126,0.614,0.162
22134,0.234,0.112,0.178,0.476
22135,0.608,0.08,0.122,0.19
22136,0.298,0.326,0.038,0.338
22137,0.112,0.382,0.216,0.29
22138,0.098,0.584,0.048,0.27
22139,0.132,0.296,0.272,0.3
22140,0.066,0.058,0.588,0.288
22141,0.028,0.236,0.404,0.332
22142,0.154,0.064,0.578,0.204
22143,0.046,0.446,0.228,0.28
22144,0.052,0.16,0.694,0.094
22145,0.076,0.082,0.584,0.258
22146,0.062,0.052,0.588,0.298
22147,0.216,0.058,0.388,0.338
22148,0.64,0.056,0.036,0.268
22149,0.048,0.642,0.04,0.27
22150,0.146,0.076,0.684,0.094
22151,0.05,0.058,0.602,0.29
22152,0.124,0.074,0.076,0.726
22153,0.042,0.48,0.39,0.088
22154,0.036,0.594,0.046,0.324
22155,0.096,0.308,0.198,0.398
22156,0.076,0.416,0.24,0.268
22157,0.104,0.328,0.42,0.148
22158,0.084,0.328,0.08,0.508
22159,0.106,0.342,0.422,0.13
22160,0.204,0.194,0.11,0.492
22161,0.076,0.224,0.216,0.484
22162,0.108,0.124,0.538,0.23
22163,0.368,0.106,0.084,0.442
22164,0.052,0.078,0.662,0.208
22165,0.08,0.572,0.108,0.24
22166,0.386,0.454,0.07,0.09
22167,0.516,0.2,0.17,0.114
22168,0.104,0.1,0.614,0.182
22169,0.46,0.076,0.162,0.302
22170,0.052,0.326,0.524,0.098
22171,0.082,0.388,0.356,0.174
22172,0.2,0.126,0.146,0.528
22173,0.226,0.462,0.072,0.24
22174,0.48,0.14,0.096,0.284
22175,0.084,0.374,0.128,0.414
22176,0.226,0.126,0.15,0.498
22177,0.17,0.104,0.176,0.55
22178,0.266,0.324,0.144,0.266
22179,0.124,0.342,0.088,0.446
22180,0.246,0.132,0.404,0.218
22181,0.126,0.452,0.18,0.242
22182,0.376,0.11,0.212,0.302
22183,0.18,0.474,0.094,0.252
22184,0.25,0.1,0.144,0.506
22185,0.19,0.322,0.092,0.396
22186,0.146,0.394,0.138,0.322
22187,0.12,0.3,0.11,0.47
22188,0.222,0.206,0.218,0.354
22189,0.162,0.068,0.452,0.318
22190,0.092,0.406,0.118,0.384
22191,0.246,0.132,0.42,0.202
22192,0.106,0.096,0.206,0.592
22193,0.118,0.122,0.158,0.602
22194,0.232,0.186,0.078,0.504
22195,0.184,0.56,0.14,0.116
22196,0.194,0.122,0.136,0.548
22197,0.13,0.412,0.082,0.376
22198,0.13,0.116,0.128,0.626
22199,0.65,0.126,0.084,0.14
22200,0.382,0.098,0.132,0.388
22201,0.128,0.628,0.096,0.148
22202,0.566,0.214,0.102,0.118
22203,0.648,0.166,0.064,0.122
22204,0.15,0.2,0.1,0.55
22205,0.242,0.172,0.156,0.43
22206,0.098,0.106,0.292,0.504
22207,0.092,0.102,0.322,0.484
22208,0.254,0.208,0.106,0.432
22209,0.152,0.102,0.12,0.626
22210,0.072,0.166,0.166,0.596
22211,0.114,0.22,0.072,0.594
22212,0.082,0.276,0.268,0.374
22213,0.14,0.29,0.164,0.406
22214,0.076,0.18,0.412,0.332
22215,0.11,0.21,0.508,0.172
22216,0.498,0.152,0.14,0.21
22217,0.082,0.182,0.51,0.226
22218,0.146,0.252,0.088,0.514
22219,0.298,0.134,0.122,0.446
22220,0.612,0.126,0.124,0.138
22221,0.118,0.15,0.194,0.538
22222,0.574,0.136,0.164,0.126
22223,0.234,0.292,0.082,0.392
22224,0.2,0.144,0.19,0.466
22225,0.654,0.128,0.082,0.136
22226,0.104,0.106,0.642,0.148
22227,0.398,0.13,0.196,0.276
22228,0.084,0.582,0.132,0.202
22229,0.244,0.422,0.094,0.24
22230,0.148,0.13,0.622,0.1
22231,0.798,0.07,0.05,0.082
22232,0.39,0.172,0.092,0.346
22233,0.098,0.102,0.362,0.438
22234,0.374,0.422,0.076,0.128
22235,0.362,0.118,0.102,0.418
22236,0.72,0.06,0.086,0.134
22237,0.262,0.094,0.236,0.408
22238,0.068,0.2,0.564,0.168
22239,0.096,0.638,0.164,0.102
22240,0.074,0.224,0.336,0.366
22241,0.25,0.15,0.17,0.43
22242,0.374,0.206,0.072,0.348
22243,0.06,0.542,0.078,0.32
22244,0.244,0.536,0.056,0.164
22245,0.5,0.084,0.074,0.342
22246,0.07,0.504,0.096,0.33
22247,0.096,0.104,0.456,0.344
22248,0.542,0.052,0.328,0.078
22249,0.076,0.092,0.302,0.53
22250,0.348,0.134,0.158,0.36
22251,0.08,0.076,0.298,0.546
22252,0.112,0.06,0.522,0.306
22253,0.16,0.392,0.076,0.372
22254,0.062,0.084,0.366,0.488
22255,0.102,0.058,0.226,0.614
22256,0.19,0.076,0.164,0.57
22257,0.468,0.1,0.132,0.3
22258,0.076,0.366,0.236,0.322
22259,0.17,0.076,0.132,0.622
22260,0.082,0.082,0.258,0.578
22261,0.132,0.086,0.29,0.492
22262,0.292,0.206,0.082,0.42
22263,0.086,0.198,0.078,0.638
22264,0.32,0.19,0.1,0.39
22265,0.154,0.128,0.53,0.188
22266,0.152,0.07,0.206,0.572
22267,0.062,0.098,0.326,0.514
22268,0.236,0.184,0.086,0.494
22269,0.204,0.584,0.082,0.13
22270,0.122,0.156,0.332,0.39
22271,0.194,0.212,0.384,0.21
22272,0.218,0.356,0.07,0.356
22273,0.218,0.228,0.282,0.272
22274,0.18,0.512,0.066,0.242
22275,0.098,0.47,0.16,0.272
22276,0.096,0.212,0.356,0.336
22277,0.282,0.204,0.36,0.154
22278,0.102,0.286,0.336,0.276
22279,0.388,0.216,0.13,0.266
22280,0.274,0.116,0.182,0.428
22281,0.638,0.1,0.124,0.138
22282,0.114,0.31,0.45,0.126
22283,0.154,0.234,0.246,0.366
22284,0.282,0.194,0.37,0.154
22285,0.096,0.342,0.138,0.424
22286,0.178,0.074,0.454,0.294
22287,0.366,0.222,0.076,0.336
22288,0.294,0.198,0.178,0.33
22289,0.126,0.544,0.106,0.224
22290,0.278,0.12,0.38,0.222
22291,0.556,0.132,0.108,0.204
22292,0.316,0.152,0.16,0.372
22293,0.154,0.326,0.12,0.4
22294,0.268,0.254,0.14,0.338
22295,0.26,0.17,0.336,0.234
22296,0.212,0.146,0.202,0.44
22297,0.162,0.164,0.308,0.366
22298,0.12,0.254,0.302,0.324
22299,0.102,0.394,0.146,0.358
